iter	Passed	Remaining
1173	13311	9365
1174	13322	9354
1175	13334	9343
1176	13347	9332
1177	13361	9323
1178	13372	9311
1179	13385	9301
1180	13393	9288
1181	13403	9275
1182	13413	9263
1183	13420	9249
1184	13434	9240
1185	13445	9228
1186	13458	9217
1187	13469	9206
1188	13481	9195
1189	13491	9183
1190	13502	9171
1191	13514	9161
1192	13524	9148
1193	13537	9138
1194	13548	9126
1195	13559	9115
1196	13568	9102
1197	13579	9090
1198	13591	9080
1199	13602	9068
1200	13612	9056
1201	13626	9046
1202	13637	9035
1203	13649	9024
1204	13660	9012
1205	13673	9002
1206	13683	8990
1207	13695	8978
1208	13707	8968
1209	13717	8956
1210	13727	8944
1211	13737	8931
1212	13747	8919
1213	13759	8908
1214	13768	8896
1215	13779	8884
1216	13790	8872
1217	13802	8861
1218	13811	8848
1219	13823	8838
1220	13833	8825
1221	13845	8814
1222	13855	8802
1223	13866	8791
1224	13877	8779
1225	13887	8767
1226	13896	8754
1227	13909	8744
1228	13919	8732
1229	13931	8721
1230	13940	8708
1231	13952	8697
1232	13962	8685
1233	13972	8673
1234	13981	8660
1235	13992	8649
1236	14001	8636
1237	14011	8624
1238	14021	8611
1239	14029	8598
1240	14041	8588
1241	14050	8575
1242	14063	8564
1243	14074	8553
1244	14084	8541
1245	14093	8528
1246	14104	8516
1247	14113	8504
1248	14125	8493
1249	14135	8481
1250	14145	8469
1251	14157	8458
1252	14167	8445
1253	14176	8433
1254	14187	8422
1255	14197	8409
1256	14208	8398
1257	14218	8386
1258	14228	8374
1259	14240	8363
1260	14249	8350
1261	14259	8338
1262	14267	8325
1263	14280	8315
1264	14288	8302
1265	14299	8290
1266	14309	8278
1267	14321	8267
1268	14333	8256
1269	14344	8245
1270	14354	8233
1271	14366	8222
1272	14376	8210
1273	14387	8198
1274	14396	8186
1275	14408	8175
1276	14419	8163
1277	14431	8152
1278	14443	8141
1279	14456	8131
1280	14467	8120
1281	14477	8108
1282	14487	8096
1283	14499	8085
1284	14509	8073
1285	14520	8062
1286	14531	8050
1287	14540	8037
1288	14549	8025
1289	14560	8014
1290	14569	8001
1291	14584	7992
1292	14594	7979
1293	14606	7969
1294	14617	7957
1295	14627	7945
1296	14637	7933
1297	14650	7923
1298	14661	7911
1299	14671	7900
1300	14681	7888
1301	14691	7876
1302	14701	7864
1303	14711	7852
1304	14720	7839
1305	14735	7830
1306	14744	7817
1307	14755	7806
1308	14765	7794
1309	14776	7783
1310	14785	7770
1311	14796	7759
1312	14807	7747
1313	14820	7737
1314	14829	7724
1315	14841	7713
1316	14851	7701
1317	14862	7690
1318	14873	7679
1319	14884	7667
1320	14895	7656
1321	14906	7645
1322	14916	7633
1323	14930	7623
1324	14938	7610
1325	14949	7598
1326	14959	7586
1327	14969	7575
1328	14980	7563
1329	14990	7551
1330	15003	7541
1331	15014	7530
1332	15024	7517
1333	15033	7505
1334	15043	7493
1335	15055	7482
1336	15065	7470
1337	15074	7458
1338	15085	7446
1339	15094	7434
1340	15105	7423
1341	15114	7410
1342	15128	7400
1343	15139	7389
1344	15149	7377
1345	15159	7365
1346	15171	7354
1347	15180	7342
1348	15190	7330
1349	15199	7318
1350	15211	7307
1351	15220	7295
1352	15231	7283
1353	15241	7271
1354	15253	7260
1355	15266	7250
1356	15276	7238
1357	15285	7226
1358	15297	7215
1359	15307	7203
1360	15317	7191
1361	15326	7179
1362	15336	7167
1363	15348	7156
1364	15357	7144
1365	15369	7133
1366	15381	7122
1367	15392	7111
1368	15404	7100
1369	15413	7088
1370	15424	7076
1371	15436	7065
1372	15447	7054
1373	15459	7043
1374	15471	7032
1375	15482	7021
1376	15494	7010
1377	15505	6999
1378	15519	6988
1379	15530	6977
1380	15542	6966
1381	15552	6954
1382	15561	6942
1383	15571	6930
1384	15583	6919
1385	15592	6907
1386	15602	6895
1387	15614	6884
1388	15626	6873
1389	15634	6861
1390	15646	6850
1391	15656	6838
1392	15669	6827
1393	15679	6816
1394	15688	6804
1395	15701	6793
1396	15712	6781
1397	15720	6769
1398	15731	6758
1399	15740	6745
1400	15750	6734
1401	15760	6722
1402	15770	6710
1403	15783	6699
1404	15796	6689
1405	15807	6678
1406	15819	6667
1407	15831	6656
1408	15843	6645
1409	15855	6634
1410	15867	6623
1411	15879	6612
1412	15891	6601
1413	15907	6592
1414	15918	6580
1415	15928	6569
1416	15937	6557
1417	15947	6545
1418	15959	6534
1419	15971	6523
1420	15981	6511
1421	15993	6500
1422	16003	6489
1423	16014	6477
1424	16022	6465
1425	16035	6454
1426	16046	6443
1427	16057	6431
1428	16068	6420
1429	16080	6409
1430	16088	6397
1431	16099	6385
1432	16107	6373
1433	16119	6362
1434	16130	6350
1435	16140	6339
1436	16152	6328
1437	16163	6316
1438	16173	6305
1439	16187	6294
1440	16198	6283
1441	16209	6272
1442	16219	6260
1443	16231	6249
1444	16241	6237
1445	16250	6226
1446	16260	6214
1447	16271	6202
1448	16281	6191
1449	16292	6180
1450	16302	6168
1451	16312	6156
1452	16326	6146
1453	16336	6134
1454	16345	6122
1455	16358	6111
1456	16368	6100
1457	16377	6088
1458	16386	6076
1459	16395	6064
1460	16408	6053
1461	16418	6041
1462	16428	6030
1463	16439	6018
1464	16452	6008
1465	16461	5996
1466	16473	5985
1467	16483	5973
1468	16497	5963
1469	16510	5952
1470	16525	5942
1471	16538	5932
1472	16552	5922
1473	16567	5912
1474	16583	5902
1475	16596	5891
1476	16611	5882
1477	16625	5871
1478	16639	5861
1479	16653	5851
1480	16669	5841
1481	16683	5831
1482	16696	5820
1483	16709	5810
1484	16720	5798
1485	16739	5789
1486	16759	5781
1487	16776	5772
1488	16791	5762
1489	16808	5753
1490	16823	5743
1491	16838	5733
1492	16852	5722
1493	16871	5714
1494	16892	5706
1495	16907	5696
1496	16921	5685
1497	16934	5674
1498	16946	5663
1499	16958	5652
1500	16974	5643
1501	16990	5633
1502	17004	5623
1503	17024	5614
1504	17039	5604
1505	17054	5594
1506	17068	5583
1507	17091	5576
1508	17106	5566
1509	17117	5554
1510	17130	5543
1511	17145	5533
1512	17158	5523
1513	17173	5512
1514	17186	5501
1515	17196	5490
1516	17210	5479
1517	17220	5467
1518	17232	5456
1519	17243	5445
1520	17256	5434
1521	17274	5425
1522	17285	5413
1523	17299	5403
1524	17310	5391
1525	17321	5380
1526	17332	5368
1527	17345	5357
1528	17357	5346
1529	17370	5335
1530	17384	5325
1531	17396	5314
1532	17409	5303
1533	17424	5293
1534	17434	5281
1535	17445	5270
1536	17461	5259
1537	17474	5249
1538	17485	5237
1539	17497	5226
1540	17510	5215
1541	17523	5204
1542	17539	5194
1543	17552	5183
1544	17565	5173
1545	17578	5162
1546	17595	5152
1547	17608	5141
1548	17623	5131
1549	17635	5120
1550	17649	5109
1551	17662	5098
1552	17675	5087
1553	17687	5076
1554	17700	5065
1555	17713	5054
1556	17723	5042
1557	17736	5031
1558	17746	5020
1559	17761	5009
1560	17774	4998
1561	17786	4987
1562	17801	4977
1563	17814	4966
1564	17826	4955
1565	17839	4943
1566	17849	4932
1567	17862	4921
1568	17877	4910
1569	17891	4900
1570	17903	4888
1571	17919	4878
1572	17931	4867
1573	17940	4855
1574	17952	4844
1575	17964	4833
1576	17977	4822
1577	17990	4811
1578	18001	4799
1579	18013	4788
1580	18025	4777
1581	18041	4766
1582	18052	4755
1583	18062	4743
1584	18076	4732
1585	18086	4721
1586	18098	4709
1587	18109	4698
1588	18121	4687
1589	18132	4675
1590	18143	4664
1591	18157	4653
1592	18171	4642
1593	18181	4631
1594	18193	4619
1595	18205	4608
1596	18216	4596
1597	18226	4585
1598	18239	4574
